input,response
"hai","Halo! Ada yang bisa saya bantu?"
"apa kabar?","Saya baik, bagaimana denganmu?"
"siapa namamu?","Saya Disperkim Bot dibuat untuk membantu seputar pertanyaan pelayanan !"
"namaku ananta","Hai Ananta terimakasih sudah menciptakan saya dan training data kecerdasan saya ! apa yang bisa saya bantu ?"
"terimakasih","Sama-sama! Senang membantu."
"bantu tugas saya","saya memberikan seluruh jawaban CHECK INBOX EMAIL KAMU ANANTA !"
"apa fungsi kamu?","Saya bisa membantu menjawab pertanyaanmu."
"selamat pagi","Selamat pagi! Semoga harimu menyenangkan."
"disperkim adalah","Disperkim adalah singkatan dari Dinas Perumahan dan Kawasan Permukiman. Ini adalah lembaga pemerintah daerah yang bertanggung jawab atas perencanaan, pembangunan, pengelolaan, dan pengawasan sektor perumahan, permukiman, serta infrastruktur terkait di suatu wilayah."
"fungsi disperkim","Disperkim adalah singkatan dari Dinas Perumahan dan Kawasan Permukiman. Ini adalah lembaga pemerintah daerah yang bertanggung jawab atas perencanaan, pembangunan, pengelolaan, dan pengawasan sektor perumahan, permukiman, serta infrastruktur terkait di suatu wilayah."
"tugas dan fungsi disperkim","Pengelolaan Perumahan 🏠,Peningkatan Kawasan Permukiman 🏡,Penataan Ruang dan Infrastruktur 🏗,rogram Bantuan Perumahan 🏢"
"contoh disperkim","Disperkim Kota Surabaya → Mengelola pembangunan rumah susun, perbaikan kampung, dan RTH. | Disperkim Jawa Barat → Fokus pada perumahan rakyat dan pengurangan kawasan kumuh. | Disperkim Provinsi Jawa Timur → Bertugas menangani pemukiman dan tata ruang perkotaan di Jatim."
"Halo","Hai! Ada yang bisa saya bantu?"
"Selamat pagi","Selamat pagi! Semoga harimu menyenangkan."
"Selamat malam","Selamat malam! Semoga istirahatmu nyenyak."
"Apa kabar?","Saya baik, bagaimana denganmu?"
"Siapa namamu?","Saya chatbot yang dibuat dengan Python!"
"Kamu bisa apa?","Saya bisa menjawab pertanyaan sederhana."
"Jam berapa sekarang?","Saya tidak punya jam, tapi kamu bisa cek di perangkatmu!"
"Bagaimana cuaca hari ini?","Maaf, saya tidak bisa mengecek cuaca saat ini."
"Kamu dari mana?","Saya berasal dari dunia digital."
"Terima kasih","Sama-sama! Senang membantu."
"Sampai jumpa","Sampai jumpa! Semoga harimu menyenangkan."
"baik","baik apanya ?"

